id,name,category,description,indicators,source,source_reference,version,active,reviewed_at,created_at,updated_at
TTP-OTP-INTERCEPT,SMS OTP Interception,credential_theft,Reads or forwards SMS one-time passwords to enable account takeover.,"[""READ_SMS"", ""RECEIVE_SMS"", ""SmsManager""]",CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
TTP-OVERLAY-PHISH,Overlay Phishing Attack,credential_theft,Uses an overlay capability with credential-capture behaviour to imitate a banking screen.,"[""SYSTEM_ALERT_WINDOW"", ""TYPE_APPLICATION_OVERLAY""]",CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
TTP-ACCESSIBILITY-ABUSE,Accessibility Service Abuse,device_control,Abuses accessibility capabilities to read content or automate actions without informed user intent.,"[""BIND_ACCESSIBILITY_SERVICE"", ""performGlobalAction""]",CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
TTP-DYNAMIC-DEX,Dynamic Code Loading,evasion,Loads secondary DEX or native payloads at runtime to evade static inspection.,"[""DexClassLoader"", ""PathClassLoader""]",OWASP MASVS,OWASP MASVS resilience guidance,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
TTP-DEVICE-ADMIN,Device Admin Persistence,persistence,Requests device-admin capabilities to resist removal or control device state.,"[""DevicePolicyManager"", ""DeviceAdminReceiver""]",CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
TTP-SILENT-INSTALL,Package Installation Abuse,propagation,Requests package-install capabilities for secondary payload delivery.,"[""REQUEST_INSTALL_PACKAGES"", ""PackageInstaller""]",CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
TTP-CALL-FORWARD,Call Forwarding or Vishing Support,credential_theft,Uses telephony capabilities in support of call interception or social engineering.,"[""READ_PHONE_STATE"", ""TelephonyManager""]",CERT-In,CERT-In mobile banking trojan advisories,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
TTP-SELFSIGNED-REPACK,Self-Signed Repackaging,evasion,Repackages a legitimate application and distributes a differently signed APK.,"[""self-signed certificate"", ""sideload""]",OWASP MASVS,OWASP MASVS resilience guidance,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
TTP-OBFUSCATION,Heavy Obfuscation or Packing,evasion,Uses obfuscation or packing that materially raises the cost of code inspection.,"[""string entropy"", ""name mangling""]",OWASP MASVS,OWASP MASVS resilience guidance,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
TTP-FAKE-KYC,Fake KYC or Onboarding Flow,social_engineering,Uses a counterfeit onboarding flow to collect identity or payment information.,"[""fake KYC"", ""credential capture""]",internal,Requires analyst-reviewed behavioural evidence,1,t,,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
